objectId,aimage,aimagerat,bimage,bimagerat,candid,chinr,chipsf,classtar,dec,decnr,diffmaglim,distnr,distpsnr1,distpsnr2,distpsnr3,elong,fid,field,fwhm,isdiffpos,jd,jdendhist,jdendref,jdstarthist,jdstartref,magap,magapbig,magdiff,magfromlim,magnr,magpsf,mindtoedge,nbad,ncovhist,ndethist,nframesref,nid,nmtchps,nneg,objectidps1,objectidps2,objectidps3,pdiffimfilename,pid,programid,programpi,ra,ranr,rb,rcid,rfid,scorr,seeratio,sgmag1,sgmag2,sgmag3,sgscore1,sgscore2,sgscore3,sharpnr,sigmagap,sigmagapbig,sigmagnr,sigmapsf,simag1,simag2,simag3,sky,srmag1,srmag2,srmag3,ssdistnr,ssmagnr,ssnamenr,sumrat,szmag1,szmag2,szmag3,tblid,tooflag,xpos,ypos,filefracday,filefracday
ZTF18aaqphhe,1.8109999895095825,0.2050962597131729,1.0019999742507935,0.11347678303718567,490152231515010032,6.86899995803833,4.035400390625,0.9039999842643738,-20.7409538,-20.7409972,19.77802848815918,6.084720611572266,9.808780670166016,9.89367961883545,19.874656677246094,1.8073852062225342,2,315,8.829999923706055,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,18.683300018310547,18.519899368286133,-0.4590330421924591,1.0947284698486328,16.274999618530273,19.142332077026367,77.09590148925781,5,1,1,19,490,6,4,83111471948481343,83111471949750944,83111471950286713,ztf_20180506152211_000315_zr_c04_o_q4_scimrefdiffimg.fits,490152231515,1,Kulkarni,147.1918927,147.1937214,0.11666666716337204,15,315120215,14.4760456085205,0.3107304275035858,13.277799606323242,12.526000022888184,-999.0,0.5,0.5,0.5,0.07500000298023224,0.07639999687671661,0.1444000005722046,0.061000000685453415,0.06540225446224213,12.912199974060059,11.630000114440918,-999.0,-0.49482840299606323,-999.0,11.87600040435791,-999.0,-999.0,-999.0,null,0.8718146085739136,12.844499588012695,11.51200008392334,20.876800537109375,32,0,2724.859619140625,3003.404052734375,20180506152211,20180506152211
ZTF18aarybsg,0.45500001311302185,0.17913386225700378,0.2840000092983246,0.11181102693080902,493214280215010002,1.9359999895095825,3.3797059059143066,0.8090000152587891,-20.7344347,-20.7345408,19.96619415283203,6.543567657470703,9.642875671386719,12.710156440734863,14.326062202453613,1.6021126508712769,2,315,2.5399999618530273,f,2458247.7142824,2458247.7142824,2458226.653704,2458247.7142824,2458218.720417,19.98240089416504,19.175100326538086,-0.2683214545249939,-0.01620584912598133,20.718000411987305,20.250720977783203,63.44609832763672,0,4,1,18,493,7,6,83111526444397521,83111526455518681,83111526375618845,ztf_20180509214282_000315_zr_c01_o_q3_scimrefdiffimg.fits,493214280215,1,Kulkarni,152.6417856,152.6398211,0.09333333373069763,2,315120202,5.55654668807983,1.0498852729797363,19.607799530029297,12.937000274658203,20.079700469970703,0.5,0.5,0.9885830283164978,0.17800000309944153,0.21570000052452087,0.23469999432563782,0.11900000274181366,0.14523273706436157,-999.0,12.522000312805176,19.599000930786133,-1.4406559467315674,19.65049934387207,12.635000228881836,19.744600296020508,-999.0,-999.0,null,0.940681517124176,-999.0,12.472000122070312,19.54759979248047,2,0,1296.9884033203125,3017.053955078125,20180509214282,20180509214282
ZTF18aaqphkr,0.7609999775886536,-999.0,0.42800000309944153,-999.0,490152230215010027,1.6799999475479126,11.291427612304688,0.9909999966621399,-20.7339116,-20.7338048,19.72537612915039,0.3915560245513916,0.2804088592529297,2.9233076572418213,25.5792293548584,1.778037428855896,2,315,0.0,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,18.899799346923828,18.94770050048828,0.5054743885993958,0.8255752921104431,15.516999244689941,18.394325256347656,100.99030303955078,0,3,1,18,490,5,8,83111521653679722,83121521657960593,83111521645701140,ztf_20180506152211_000315_zr_c01_o_q3_scimrefdiffimg.fits,490152230215,1,Kulkarni,152.1653547,152.1653489,0.20000000298023224,2,315120202,5.2302622795105,-999.0,16.02400016784668,-999.0,18.209800720214844,0.9950000047683716,0.5,0.5,-0.01600000075995922,0.11840000003576279,0.22439999878406525,0.01899999938905239,0.06359605491161346,15.41450023651123,20.211299896240234,-999.0,-0.9674757122993469,15.589799880981445,-999.0,-999.0,-999.0,-999.0,null,0.7218473553657532,15.386500358581543,-999.0,21.074100494384766,27,0,2879.99755859375,2979.509765625,20180506152211,20180506152211
ZTF18aaqpiyn,1.2200000286102295,0.2013201266527176,1.0920000076293945,0.18019801378250122,490152231015010030,1.8619999885559082,3.5598068237304688,0.9789999723434448,-20.7318965,-20.7319872,19.78722381591797,1.3172616958618164,9.798876762390137,11.57310676574707,16.59551429748535,1.1172161102294922,2,315,6.059999942779541,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,19.384700775146484,18.7721004486084,-0.3705703318119049,0.4025231599807739,19.312000274658203,19.75527000427246,164.6746063232422,0,2,1,19,490,8,1,83121488544025282,83121488513951812,83111488526007084,ztf_20180506152211_000315_zr_c03_o_q3_scimrefdiffimg.fits,490152231015,1,Kulkarni,148.8547914,148.854407,0.28999999165534973,10,315120210,9.58970546722412,0.45276397466659546,-999.0,12.855600357055664,-999.0,0.032875001430511475,0.5,0.5,-0.00800000037997961,0.14219999313354492,0.1898999959230423,0.03999999910593033,0.10864690691232681,20.844600677490234,12.17609977722168,21.266599655151367,-0.7369927763938904,-999.0,12.240900039672852,-999.0,-999.0,-999.0,null,1.0,20.35740089416504,12.092300415039062,-999.0,30,0,717.3294067382812,2915.825439453125,20180506152211,20180506152211
ZTF18aaqpiyp,1.2079999446868896,0.25324946641921997,0.8009999990463257,0.16792452335357666,490152231015010031,6.866000175476074,2.8906960487365723,0.9490000009536743,-20.7314508,-20.7320215,19.78722381591797,3.172414779663086,12.236289024353027,17.738990783691406,22.92371940612793,1.5081148147583008,2,315,4.769999980926514,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,19.53860092163086,19.35700035095215,-0.5284419059753418,0.24862317740917206,20.347000122070312,20.067041397094727,169.65870666503906,0,2,1,19,490,5,7,83121490139532238,83121490155842903,83121490049347181,ztf_20180506152211_000315_zr_c03_o_q3_scimrefdiffimg.fits,490152231015,1,Kulkarni,149.0103678,149.0111037,0.15333333611488342,10,315120210,6.65343952178955,0.5752095580101013,13.11400032043457,19.215299606323242,-999.0,0.9795830249786377,0.1791130006313324,0.9065420031547546,-0.503000020980835,0.16369999945163727,0.31189998984336853,0.2540000081062317,0.14594587683677673,12.270000457763672,18.111400604248047,20.8031005859375,0.14841899275779724,12.496000289916992,18.471500396728516,21.579999923706055,-999.0,-999.0,null,0.9495404362678528,12.166000366210938,18.101699829101562,20.254600524902344,31,0,199.9427947998047,2910.84130859375,20180506152211,20180506152211
ZTF18aaqpiyp,1.0640000104904175,0.17442622780799866,0.6639999747276306,0.10885246098041534,493214281015010008,6.866000175476074,11.0451078414917,0.46399998664855957,-20.7314183,-20.7320215,19.964797973632812,2.4176087379455566,10.905874252319336,16.387632369995117,23.94394874572754,1.6024096012115479,2,315,6.099999904632568,f,2458247.7142824,2458247.7142824,2458226.653704,2458244.6522338,2458218.720417,19.286500930786133,19.30579948425293,-0.5010397434234619,0.678298830986023,20.347000122070312,19.787540435791016,155.25709533691406,0,3,2,19,493,5,3,83121490139532238,83121490155842903,83121490049347181,ztf_20180509214282_000315_zr_c03_o_q3_scimrefdiffimg.fits,493214281015,1,Kulkarni,149.0107678,149.0111037,0.05000000074505806,10,315120210,9.27169132232666,0.4148541986942291,13.11400032043457,19.215299606323242,-999.0,0.9795830249786377,0.1791130006313324,0.9065420031547546,-0.503000020980835,0.12030000239610672,0.2791999876499176,0.2540000081062317,0.09764095395803452,12.270000457763672,18.111400604248047,20.8031005859375,-0.398522287607193,12.496000289916992,18.471500396728516,21.579999923706055,-999.0,-999.0,null,1.0,12.166000366210938,18.101699829101562,20.254600524902344,8,0,197.8647003173828,2925.242919921875,20180509214282,20180509214282
ZTF18aaryclg,1.4270000457763672,1.1146767139434814,0.8579999804496765,0.6702120900154114,493214281115015004,0.9129999876022339,1.567030429840088,0.6890000104904175,-20.730652,-20.7298623,20.012985229492188,7.0492939949035645,7.108704090118408,14.790899276733398,17.12862777709961,1.6631702184677124,2,315,1.2801917791366577,t,2458247.7142824,2458247.7142824,2458226.653704,2458247.7142824,2458218.720417,19.84980010986328,19.06410026550293,-0.4729189872741699,0.16318488121032715,20.266000747680664,20.32271957397461,161.04820251464844,0,4,1,18,493,6,5,83121491883364506,83121491879308175,83121491834598261,ztf_20180509214282_000315_zr_c03_o_q4_scimrefdiffimg.fits,493214281115,1,Kulkarni,149.1863397,149.1882853,0.0833333358168602,11,315120211,6.02477359771729,2.0,21.248899459838867,-999.0,-999.0,0.0012499999720603228,0.34973201155662537,0.346574991941452,0.06700000166893005,0.1891999989748001,0.2053000032901764,0.04600000008940697,0.152052640914917,20.137399673461914,21.61720085144043,20.90489959716797,0.7084804177284241,20.632400512695312,-999.0,21.413700103759766,-999.0,-999.0,null,0.9297216534614563,19.842300415039062,20.73259925842285,20.567800521850586,4,0,2688.159912109375,2919.451904296875,20180509214282,20180509214282
ZTF18aaqphcj,2.5190000534057617,0.137650266289711,1.3860000371932983,0.07573770731687546,490152230715010040,1.809999942779541,199.32301330566406,0.47600001096725464,-20.7301289,-20.7273754,19.762048721313477,12.303351402282715,5.650949954986572,8.604305267333984,9.880292892456055,1.817460298538208,2,315,18.299999237060547,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,16.7406005859375,16.020999908447266,-0.062341392040252686,3.021449327468872,19.920000076293945,16.802942276000977,165.3730010986328,5,3,1,18,490,13,4,83121512880085911,83121512859944675,83121512857484110,ztf_20180506152211_000315_zr_c02_o_q4_scimrefdiffimg.fits,490152230715,1,Kulkarni,151.2884722,151.2907163,0.1666666716337204,7,315120207,42.1131706237793,0.15861095488071442,-999.0,16.425800323486328,-999.0,0.5,0.5,0.5,0.1080000028014183,0.013899999670684338,0.014800000004470348,0.05700000002980232,0.008854865096509457,-999.0,-999.0,9.428159713745117,0.3146294057369232,19.33989906311035,-999.0,-999.0,-999.0,-999.0,null,1.0,-999.0,13.371700286865234,-999.0,40,0,2286.19091796875,2915.126953125,20180506152211,20180506152211
ZTF18aatcyqc,1.8680000305175781,0.4802056550979614,1.5379999876022339,0.39537274837493896,495150870615010005,0.4449999928474426,1.0,0.9629999995231628,-20.7281625,-20.7295581,18.64807891845703,4.967910289764404,17.82962989807129,18.18697738647461,19.69637680053711,1.214564323425293,2,314,3.890000104904175,f,2458249.6508796,2458249.6508796,2458226.645463,2458249.6508796,2458218.693866,18.09000015258789,17.703699111938477,0.0,0.5580785870552063,22.006999969482422,18.09000015258789,12.96780014038086,5,2,1,20,495,14,3,83131440198682395,83131440148841078,83121440171570122,ztf_20180511150625_000314_zr_c02_o_q3_scimrefdiffimg.fits,495150870615,1,Kulkarni,144.0184551,144.0185398,0.036666665226221085,6,314120206,6.89109659194946,0.7354603409767151,-999.0,18.93400001525879,19.88479995727539,0.5,0.9737079739570618,0.7555649876594543,0.019999999552965164,0.20280000567436218,0.1826999932527542,0.14499999582767487,0.20280000567436218,18.910999298095703,18.382200241088867,18.803199768066406,6.843259811401367,-999.0,18.55139923095703,19.18199920654297,-999.0,-999.0,null,0.9715414643287659,-999.0,18.29439926147461,18.594200134277344,5,0,12.96780014038086,2912.93115234375,20180511150625,20180511150625
ZTF18aaqpiyu,1.3029999732971191,0.2136065512895584,1.187000036239624,0.19459016621112823,490152231015010032,2.571000099182129,3.6008336544036865,0.9819999933242798,-20.7271791,-20.7273007,19.78722381591797,3.6342153549194336,11.343587875366211,22.684375762939453,25.046245574951172,1.0977253913879395,2,315,6.099999904632568,f,2458244.6522338,2458244.6522338,2458226.653704,2458244.6522338,2458218.720417,19.645999908447266,18.73900032043457,-0.2107449620962143,0.14122317731380463,20.22100067138672,19.85674476623535,181.2592010498047,0,2,1,19,490,6,0,83121488505777360,83121488513951812,83121488400185833,ztf_20180506152211_000315_zr_c03_o_q3_scimrefdiffimg.fits,490152231015,1,Kulkarni,148.8471703,148.8460848,0.2566666603088379,10,315120210,8.99338436126709,0.4497950077056885,13.50529956817627,12.855600357055664,-999.0,0.9965829849243164,0.5,0.5,0.1720000058412552,0.18060000240802765,0.1850000023841858,0.08699999749660492,0.11950474232435226,12.277000427246094,12.17609977722168,-999.0,0.448234885931015,12.619000434875488,12.240900039672852,20.82539939880371,-999.0,-999.0,null,1.0,12.10200023651123,12.092300415039062,19.022300720214844,32,0,742.7991943359375,2899.24072265625,20180506152211,20180506152211
